Symbol,% Chg. Close,% Chg. Open,% Chg. Over,Last Trade,Bid,Ask,Tot. Volume,After hours percent change
RDDT,-3.54,-4.93,+1.46,244.968,244.80,245.88,5542455,0.17
RKLB,+2.67,+0.92,+1.74,85.30,85.27,85.33,23780421,0.53
RMBS,+3.19,+2.27,+0.90,94.25,93.90,95.00,1746376,0.93
RSP,+0.63,+0.36,+0.27,197.70,197.70,198.19,14223315,0.05
SANM,+2.95,+1.90,+1.03,153.50,152.85,153.98,461936,0.06
SAP,+2.89,+0.12,+2.77,247.99,241.10,250.00,1737873,0.36
SATS,+2.95,+2.30,+0.63,120.40,118.00,120.40,7161364,0.33
SHOP,-2.07,-1.91,-0.16,164.80,164.40,164.80,5068690,0.19
SLB,+2.14,+1.34,+0.79,45.38,45.32,45.38,18306842,0.4
SNDK,+13.33,+10.99,+2.11,379.15,379.11,379.25,19353182,0.46
SNOW,-1.95,-2.21,+0.27,219.436,219.40,219.60,4650012,0.16
SPOT,-2.65,-2.63,-0.02,539.00,538.50,539.47,3600749,-0.07
SPXC,-0.37,-0.99,+0.62,206.67,206.79,208.44,362330,-0.4
TEM,-2.41,-4.44,+2.12,66.71,66.69,66.75,3145479,0.66
TFX,+2.54,+2.49,+0.05,112.80,110.52,113.84,1343823,-0.01
TQQQ,+3.23,+2.85,+0.37,55.9401,55.94,55.95,78706269,0.32
TSLA,+2.25,+2.22,+0.03,445.61,445.61,445.80,67331456,0.13
TSM,+2.15,+1.57,+0.57,324.8549,324.30,325.00,12325146,0.38
TT,+1.04,+0.47,+0.57,382.29,380.00,388.03,1329054,0.15
V,-0.59,-0.57,-0.02,350.14,349.50,350.48,4903262,0.11
VLO,-3.04,-3.13,+0.09,185.50,184.90,185.59,5472876,0.12
VRT,+1.75,+0.74,+1.01,163.60,163.50,164.00,5665293,0.01
VRTX,-1.00,-0.58,-0.42,465.00,464.60,465.50,1700271,0.25
VST,+11.16,-3.97,+15.76,167.41,166.85,168.00,14315970,0.63
WDAY,-1.08,-1.27,+0.19,207.53,207.20,207.60,1799841,0.17
WDC,+7.10,+7.00,+0.09,201.00,200.60,201.25,9887711,0.27
XOM,+1.23,+0.97,+0.26,124.42,124.31,124.61,16137674,-0.15
XYL,-0.63,-1.11,+0.48,140.00,139.11,140.14,989295,0.22
ZS,-1.51,-1.70,+0.19,216.99,216.75,217.00,1592820,0.12
,,,,,,,,
